,OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,GFAParkingRate,GFABuildingsRate,LargestPropertyUseType,LargestGFARate,SecondLargestPropertyUseType,SecondLargestGFARate,ThirdLargestPropertyUseType,ThirdLargestGFARate,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Latitude,Longitude,Description,Zone,Haversine(km),GFAPerBuilding,GFAPerFloor
203,323,NonResidential,Small- and Mid-Sized Office,1981,1.0,4.0,80612.0,22.95,77.05,Office,77.05,No information,0.0,No information,0.0,58.0,4918676.0,64.905,0.010790499999998815,-0.01778920000000994,200 Cedar Street Building at 200 Cedar Street,North DownTown,1.7938571269840777,80612.0,20153.0
204,324,NonResidential,Large Office,1978,1.0,12.0,234000.0,9.31,90.69,Office,74.27,Laboratory,12.76,No information,0.0,37.5,18918808.0,147.47,0.009850499999998874,-0.013789200000005053,Fourth and Battery at 2401 Fourth Avenue,North DownTown,1.5060676285163603,234000.0,19500.0
205,325,NonResidential,Retail Store,1989,1.0,4.0,111077.0,0.0,100.0,Retail Store,100.0,No information,0.0,No information,0.0,91.0,9898724.0,69.01,0.005500500000003683,-0.004749200000006226,WESTLAKE MALL RETAIL PORTION at 400 PINE ST,North DownTown,0.7077052231626801,111077.0,27769.25
206,326,NonResidential,Large Office,1989,1.0,25.0,511134.0,24.88,75.12,Office,75.12,No information,0.0,No information,0.0,72.5,24819005.0,173.025,0.005750500000004877,-0.004729199999999878,Westlake Tower at 1601 5th Avenue,North DownTown,0.7311351003024554,511134.0,20445.36
207,327,NonResidential,Retail Store,1925,1.0,10.0,693450.0,0.0,100.0,Retail Store,52.07,Office,47.93,No information,0.0,92.5,40248090.0,395.42,0.006170500000003187,-0.004009199999998714,Nordstrom 001 at 500 Pine Street,North DownTown,0.7490696505611304,693450.0,69345.0
208,328,NonResidential,Large Office,1976,1.0,33.0,923861.0,14.34,85.66,Office,67.33,Other,3.58,No information,0.0,89.0,40649750.0,297.655,0.006990500000000566,-0.0022792000000038115,1600 Seventh at 1600 7th Ave,North DownTown,0.7958661807077569,923861.0,27995.79
209,329,NonResidential,Large Office,2000,1.0,23.0,756874.0,27.1,72.9,Office,71.67,Restaurant,1.23,No information,0.0,89.0,31563245.0,366.965,0.00766050000000007,-0.003089200000005121,1700 Seventh Ave at 1700 Seventh,North DownTown,0.8827286613918109,756874.0,32907.57
210,330,NonResidential,Small- and Mid-Sized Office,1926,1.0,10.0,63409.0,12.23,87.77,Office,71.38,Retail Store,9.76,No information,0.0,91.0,3290738.0,161.275,0.00747050000000371,-0.004449199999996267,Lloyd building at 603 Stewart Street,North DownTown,0.8951417066461079,63409.0,6340.9
211,331,NonResidential,Large Office,1930,1.0,17.0,204790.0,14.65,85.35,Office,69.36,Recreation,8.34,Retail Store,7.16,91.5,7642967.0,97.575,0.007620500000001584,-0.00366920000000448,The Tower Building at 1809 7th Ave,North DownTown,0.8908877059940296,204790.0,12046.47
212,332,NonResidential,Small- and Mid-Sized Office,1916,1.0,5.0,73399.0,0.0,100.0,Office,70.24,Retail Store,13.59,No information,0.0,62.0,3706229.5,25.835,0.006230500000000916,-0.0061892000000085545,Times Square Building at 414 Olive Street,North DownTown,0.8338157572622431,73399.0,14679.8
